liquor_id,liquor_name,ingredient_id,ingredient_name,ingredient_type,origin_ingredient_id,origin_ingredient_name,origin_type
4930,plum_brandy,6300,swordfish,seafood,5809,shrimp,seafood
4930,plum_brandy,6749,vermouth,other,5809,shrimp,seafood
4930,plum_brandy,1023,catfish,seafood,5809,shrimp,seafood
4937,plum_wine,6545,turmeric,other,4478,onion,pungent
4937,plum_wine,5147,purslane,other,4478,onion,pungent
4937,plum_wine,4527,orange_roughy,other,4478,onion,pungent
4937,plum_wine,3125,grouper,other,4478,onion,pungent
4937,plum_wine,6326,tamale,other,4478,onion,pungent
4937,plum_wine,1081,chayote,other,4478,onion,pungent
4937,plum_wine,6079,squab,other,4478,onion,pungent
4937,plum_wine,1855,deer,other,4478,onion,pungent
4937,plum_wine,6212,summer_savory,other,4478,onion,pungent
4937,plum_wine,6086,squirrel,other,4478,onion,pungent
4937,plum_wine,1489,conch,other,4478,onion,pungent
4937,plum_wine,5330,red_rice,other,4478,onion,pungent
4937,plum_wine,6229,swede,other,4478,onion,pungent
4937,plum_wine,4821,pigeon_pea,other,4478,onion,pungent
4937,plum_wine,3562,kelp,other,4478,onion,pungent
4937,plum_wine,6255,sweet_marjoram,other,4478,onion,pungent
4937,plum_wine,1018,cassia,other,4478,onion,pungent
4937,plum_wine,4733,pepper,other,4478,onion,pungent
5016,port_wine,4527,orange_roughy,other,2793,garlic,pungent
5016,port_wine,3920,lovage,other,2793,garlic,pungent
5016,port_wine,114,amaranth,other,2793,garlic,pungent
5016,port_wine,3125,grouper,other,2793,garlic,pungent
5016,port_wine,1023,catfish,seafood,2793,garlic,pungent
5016,port_wine,5919,snail,other,2793,garlic,pungent
5016,port_wine,6545,turmeric,other,4478,onion,pungent
5016,port_wine,5147,purslane,other,4478,onion,pungent
5016,port_wine,6326,tamale,other,4478,onion,pungent
5016,port_wine,1081,chayote,other,4478,onion,pungent
5016,port_wine,6079,squab,other,4478,onion,pungent
5016,port_wine,1855,deer,other,4478,onion,pungent
5016,port_wine,6212,summer_savory,other,4478,onion,pungent
5016,port_wine,6086,squirrel,other,4478,onion,pungent
5016,port_wine,1489,conch,other,4478,onion,pungent
5016,port_wine,5330,red_rice,other,4478,onion,pungent
5016,port_wine,6229,swede,other,4478,onion,pungent
5016,port_wine,4821,pigeon_pea,other,4478,onion,pungent
5016,port_wine,3562,kelp,other,4478,onion,pungent
5016,port_wine,6255,sweet_marjoram,other,4478,onion,pungent
5016,port_wine,1018,cassia,other,4478,onion,pungent
5016,port_wine,4733,pepper,other,4478,onion,pungent
5345,red_wine,4527,orange_roughy,other,2793,garlic,pungent
5345,red_wine,3920,lovage,other,2793,garlic,pungent
5345,red_wine,114,amaranth,other,2793,garlic,pungent
5345,red_wine,3125,grouper,other,2793,garlic,pungent
5345,red_wine,1023,catfish,seafood,2793,garlic,pungent
5345,red_wine,5919,snail,other,2793,garlic,pungent
5345,red_wine,6545,turmeric,other,4478,onion,pungent
5345,red_wine,5147,purslane,other,4478,onion,pungent
5345,red_wine,6326,tamale,other,4478,onion,pungent
5345,red_wine,1081,chayote,other,4478,onion,pungent
5345,red_wine,6079,squab,other,4478,onion,pungent
5345,red_wine,1855,deer,other,4478,onion,pungent
5345,red_wine,6212,summer_savory,other,4478,onion,pungent
5345,red_wine,6086,squirrel,other,4478,onion,pungent
5345,red_wine,1489,conch,other,4478,onion,pungent
5345,red_wine,5330,red_rice,other,4478,onion,pungent
5345,red_wine,6229,swede,other,4478,onion,pungent
5345,red_wine,4821,pigeon_pea,other,4478,onion,pungent
5345,red_wine,3562,kelp,other,4478,onion,pungent
5345,red_wine,6255,sweet_marjoram,other,4478,onion,pungent
5345,red_wine,1018,cassia,other,4478,onion,pungent
5345,red_wine,4733,pepper,other,4478,onion,pungent
5534,rose_wine,4527,orange_roughy,other,2793,garlic,pungent
5534,rose_wine,3920,lovage,other,2793,garlic,pungent
5534,rose_wine,114,amaranth,other,2793,garlic,pungent
5534,rose_wine,3125,grouper,other,2793,garlic,pungent
5534,rose_wine,1023,catfish,seafood,2793,garlic,pungent
5534,rose_wine,5919,snail,other,2793,garlic,pungent
5534,rose_wine,6545,turmeric,other,4478,onion,pungent
5534,rose_wine,5147,purslane,other,4478,onion,pungent
5534,rose_wine,6326,tamale,other,4478,onion,pungent
5534,rose_wine,1081,chayote,other,4478,onion,pungent
5534,rose_wine,6079,squab,other,4478,onion,pungent
5534,rose_wine,1855,deer,other,4478,onion,pungent
5534,rose_wine,6212,summer_savory,other,4478,onion,pungent
5534,rose_wine,6086,squirrel,other,4478,onion,pungent
5534,rose_wine,1489,conch,other,4478,onion,pungent
5534,rose_wine,5330,red_rice,other,4478,onion,pungent
5534,rose_wine,6229,swede,other,4478,onion,pungent
5534,rose_wine,4821,pigeon_pea,other,4478,onion,pungent
5534,rose_wine,3562,kelp,other,4478,onion,pungent
5534,rose_wine,6255,sweet_marjoram,other,4478,onion,pungent
5534,rose_wine,1018,cassia,other,4478,onion,pungent
5534,rose_wine,4733,pepper,other,4478,onion,pungent
5587,sake,2188,egg,other,1328,chocolate_spread,dessert
5587,sake,4204,milk,other,3378,ice_cream_cone,dessert
5587,sake,1682,cream_cheese,dessert,3378,ice_cream_cone,dessert
5587,sake,2396,flour,other,6172,sugar,dessert
6031,sparkling_wine,4527,orange_roughy,other,2793,garlic,pungent
6031,sparkling_wine,3920,lovage,other,2793,garlic,pungent
6031,sparkling_wine,114,amaranth,other,2793,garlic,pungent
6031,sparkling_wine,3125,grouper,other,2793,garlic,pungent
6031,sparkling_wine,1023,catfish,seafood,2793,garlic,pungent
6031,sparkling_wine,5919,snail,other,2793,garlic,pungent
6031,sparkling_wine,6545,turmeric,other,4478,onion,pungent
6031,sparkling_wine,5147,purslane,other,4478,onion,pungent
6031,sparkling_wine,6326,tamale,other,4478,onion,pungent
6031,sparkling_wine,1081,chayote,other,4478,onion,pungent
6031,sparkling_wine,6079,squab,other,4478,onion,pungent
6031,sparkling_wine,1855,deer,other,4478,onion,pungent
6031,sparkling_wine,6212,summer_savory,other,4478,onion,pungent
6031,sparkling_wine,6086,squirrel,other,4478,onion,pungent
6031,sparkling_wine,1489,conch,other,4478,onion,pungent
6031,sparkling_wine,5330,red_rice,other,4478,onion,pungent
6031,sparkling_wine,6229,swede,other,4478,onion,pungent
6031,sparkling_wine,4821,pigeon_pea,other,4478,onion,pungent
6031,sparkling_wine,3562,kelp,other,4478,onion,pungent
6031,sparkling_wine,6255,sweet_marjoram,other,4478,onion,pungent
6031,sparkling_wine,1018,cassia,other,4478,onion,pungent
6031,sparkling_wine,4733,pepper,other,4478,onion,pungent
6763,vodka,5809,shrimp,seafood,1023,catfish,seafood
6763,vodka,4699,peanut_oil,other,1023,catfish,seafood
6763,vodka,6083,squid,seafood,1395,clam,seafood
6763,vodka,5668,scallop,other,1395,clam,seafood
6763,vodka,5063,prawn,other,1395,clam,seafood
6763,vodka,5579,saffron,other,1395,clam,seafood
6763,vodka,3597,kombu,other,1395,clam,seafood
6763,vodka,1645,crab,other,1395,clam,seafood
6763,vodka,4572,oyster,other,1395,clam,seafood
6763,vodka,4620,parsley,other,1395,clam,seafood
6763,vodka,3899,lobster,other,1395,clam,seafood
6763,vodka,2364,fish,seafood,1395,clam,seafood
6763,vodka,1395,clam,seafood,2364,fish,seafood
6763,vodka,1786,curry_leaf,other,2364,fish,seafood
6763,vodka,6159,striped_bass,other,5809,shrimp,seafood
6763,vodka,3125,grouper,other,5809,shrimp,seafood
6763,vodka,6300,swordfish,seafood,5809,shrimp,seafood
6763,vodka,6749,vermouth,other,5809,shrimp,seafood
6763,vodka,1023,catfish,seafood,5809,shrimp,seafood
6918,white_wine,4527,orange_roughy,other,2793,garlic,pungent
6918,white_wine,3920,lovage,other,2793,garlic,pungent
6918,white_wine,114,amaranth,other,2793,garlic,pungent
6918,white_wine,3125,grouper,other,2793,garlic,pungent
6918,white_wine,1023,catfish,seafood,2793,garlic,pungent
6918,white_wine,5919,snail,other,2793,garlic,pungent
6918,white_wine,6545,turmeric,other,4478,onion,pungent
6918,white_wine,5147,purslane,other,4478,onion,pungent
6918,white_wine,6326,tamale,other,4478,onion,pungent
6918,white_wine,1081,chayote,other,4478,onion,pungent
6918,white_wine,6079,squab,other,4478,onion,pungent
6918,white_wine,1855,deer,other,4478,onion,pungent
6918,white_wine,6212,summer_savory,other,4478,onion,pungent
6918,white_wine,6086,squirrel,other,4478,onion,pungent
6918,white_wine,1489,conch,other,4478,onion,pungent
6918,white_wine,5330,red_rice,other,4478,onion,pungent
6918,white_wine,6229,swede,other,4478,onion,pungent
6918,white_wine,4821,pigeon_pea,other,4478,onion,pungent
6918,white_wine,3562,kelp,other,4478,onion,pungent
6918,white_wine,6255,sweet_marjoram,other,4478,onion,pungent
6918,white_wine,1018,cassia,other,4478,onion,pungent
6918,white_wine,4733,pepper,other,4478,onion,pungent
7017,wine,4527,orange_roughy,other,2793,garlic,pungent
7017,wine,3920,lovage,other,2793,garlic,pungent
7017,wine,114,amaranth,other,2793,garlic,pungent
7017,wine,3125,grouper,other,2793,garlic,pungent
7017,wine,1023,catfish,seafood,2793,garlic,pungent
7017,wine,5919,snail,other,2793,garlic,pungent
7017,wine,6545,turmeric,other,4478,onion,pungent
7017,wine,5147,purslane,other,4478,onion,pungent
7017,wine,6326,tamale,other,4478,onion,pungent
7017,wine,1081,chayote,other,4478,onion,pungent
7017,wine,6079,squab,other,4478,onion,pungent
7017,wine,1855,deer,other,4478,onion,pungent
7017,wine,6212,summer_savory,other,4478,onion,pungent
7017,wine,6086,squirrel,other,4478,onion,pungent
7017,wine,1489,conch,other,4478,onion,pungent
7017,wine,5330,red_rice,other,4478,onion,pungent
7017,wine,6229,swede,other,4478,onion,pungent
7017,wine,4821,pigeon_pea,other,4478,onion,pungent
7017,wine,3562,kelp,other,4478,onion,pungent
7017,wine,6255,sweet_marjoram,other,4478,onion,pungent
7017,wine,1018,cassia,other,4478,onion,pungent
7017,wine,4733,pepper,other,4478,onion,pungent
