alcohol_id,ingredient_id,score
5558,4659,2135
5558,5967,786
5558,5743,356
5558,1033,18
5558,1083,10589
5558,823,992
5558,6083,20
5558,5205,8954
5558,537,22574
5558,223,332
5558,3717,57
5558,2202,1861
5558,4928,9920
5558,2320,362
5558,4204,6086
5558,3920,328
5558,1395,165
5558,4701,1938
5558,1783,309
5558,5519,2065
5558,4460,29
5558,4521,20
5558,1411,738
5558,6775,138
5558,321,1676
5558,438,325
5558,5108,7653
5558,4084,685
5558,4744,4199
5558,158,117327
5558,2947,56397
5558,345,987
5558,2210,61
5558,5569,69
5558,88,346
5558,2331,1777
5558,4150,7636
5558,6140,412
5558,1426,72140
5558,1608,1055
5558,4243,1373
5558,960,880
5558,5096,507
5558,4494,8459
5558,5027,16303
5558,3839,987
5558,5328,235
5558,4343,978
5558,4625,100
5558,975,6015
5558,86,26
5558,3133,48997
5558,5190,168
5558,1018,946
5558,1664,5940
5558,5535,830
5558,5526,330
5558,4444,4903
5558,6032,1329
5558,1138,6088
5558,6756,977
5558,1111,35
5558,4966,14253
5558,1645,115
5558,1768,71
5558,3840,47
5558,302,11327
5558,6287,163
5558,991,767
5558,4615,26875
5558,6131,39938
5558,1458,65749
5558,4733,604
5558,483,5543
5558,5676,82300
5558,4469,2821
5558,1430,5494
5558,3720,338
5558,6004,24146
5558,1895,378
5558,1368,1568
5558,1089,1606
5558,1041,1568
5558,510,561
5558,668,32
5558,3596,339
5558,6349,76
5558,1263,19
5558,2364,64
5558,2310,120
5558,6409,200
5558,4045,350
5558,4663,3274
5558,1017,19
5558,4330,23473
5558,175,21195
5558,5285,902
5558,4052,45359
5558,2914,983
5558,213,3454
5558,3290,830
5558,5809,1478
5558,3562,62
5558,518,1264
5558,1773,50
5558,5183,221
5558,5431,8159
5558,4478,1364
5558,328,207
5558,781,13771
5558,3636,100
5558,2955,1916
5558,4658,22
5558,2980,2117
5558,6051,63
5558,7087,23
5558,4600,18983
5558,6441,41676
5558,3489,57
5558,547,1099
5558,5579,119
5558,3727,226
5558,5171,2614
5558,6367,112185
5558,1679,178
5558,4350,269
5558,1588,2451
5558,1005,533
5558,1488,8236
5558,4716,322
5558,326,774
5558,3572,672
5558,5668,36
5558,148,130
5558,3782,1344
5558,4123,134
5558,4687,8131
5558,2188,940
5558,145,62
5558,1595,5320
5558,2890,1995
5558,3128,20030
5558,4958,260
5558,5424,231
5558,1361,24865
5558,4699,35
5558,4846,23764
5558,854,14820
2837,6299,2074
2837,4438,33478
2837,6545,20502
2837,361,896
2837,2335,60
2837,6631,7222
2837,4659,3432
2837,5743,190
2837,667,269
2837,1083,1374
2837,823,7352
2837,5759,68
2837,5205,20364
2837,537,1688
2837,4961,626
2837,223,1904
2837,3717,731
2837,2202,14933
2837,4928,3859
2837,2320,26
2837,4204,311
2837,3920,9552
2837,1395,50
2837,4701,1304
2837,1783,64
2837,5519,124
2837,4521,148
2837,1411,44783
2837,6775,1197
2837,438,454
2837,2200,14851
2837,5567,62
2837,5108,30
2837,4084,48402
2837,4744,63765
2837,158,31441
2837,2947,17525
2837,345,2727
2837,2210,306
2837,2331,10557
2837,4150,5614
2837,1426,4585
2837,1608,107
2837,4383,91
2837,1390,141
2837,4243,20304
2837,960,1269
2837,7020,13186
2837,4494,55468
2837,5027,6777
2837,3839,2645
2837,2793,5560
2837,6212,245
2837,4343,6638
2837,4625,3751
2837,975,25729
2837,86,26791
2837,3133,60337
2837,1018,5737
2837,1664,13442
2837,5535,120466
2837,6337,86
2837,5526,45
2837,4444,2694
2837,5527,28
2837,6032,42415
2837,1138,1292
2837,6756,35
2837,4966,1217
2837,1768,2269
2837,3840,27166
2837,302,5423
2837,6287,21
2837,991,49133
2837,5454,89
2837,4615,1124
2837,6131,6353
2837,1458,1158
2837,4733,116686
2837,483,36445
2837,5676,48
2837,4620,10415
2837,4469,12
2837,1430,5233
2837,3720,17348
2837,6004,5292
2837,1895,34727
2837,1368,26238
2837,1089,177
2837,1041,46310
2837,3632,6035
2837,510,25
2837,1786,17
2837,6349,6988
2837,1263,260
2837,5582,31706
2837,2310,7957
2837,6409,35903
2837,4045,37335
2837,4663,140
2837,6091,9232
2837,4330,5017
2837,175,17504
2837,5285,554
2837,4052,25394
2837,2914,358
2837,213,3204
2837,3290,12
2837,3562,233
2837,518,2987
2837,1773,6393
2837,5431,3814
2837,4478,7115
2837,1003,6286
2837,328,82066
2837,781,1848
2837,2955,11376
2837,2980,2840
2837,6051,412
2837,4600,16175
2837,6441,25814
2837,547,10021
2837,5579,2231
2837,3727,28720
2837,5171,1421
2837,6367,85489
2837,4350,51
2837,1588,24912
2837,1005,47779
2837,1488,234
2837,4948,643
2837,4716,31
2837,326,103
2837,3572,432
2837,5668,44
2837,148,14738
2837,3782,2608
2837,4123,25
2837,4309,134
2837,4687,4252
2837,2188,182
2837,145,195
2837,1595,9238
2837,3128,2850
2837,4545,84302
2837,4846,8874
2837,854,248
1069,6299,4238
1069,4438,62
1069,361,558
1069,2335,235
1069,6631,2223
1069,4659,1676
1069,5967,400
1069,5743,102
1069,1083,2558
1069,823,476
1069,5205,233
1069,537,4514
1069,4961,19
1069,223,134
1069,3717,15
1069,2202,251
1069,4013,22
1069,4928,4295
1069,2320,394
1069,4204,705
1069,3920,63
1069,1395,190
1069,4701,189
1069,4460,43
1069,1411,773
1069,6775,274
1069,321,93
1069,438,71
1069,5108,1507
1069,4084,207
1069,4744,1061
1069,158,39669
1069,2947,31375
1069,345,170
1069,5569,137
1069,88,54
1069,2331,2403
1069,4150,6011
1069,6791,171
1069,6140,57
1069,1426,36883
1069,1608,502
1069,1390,33
1069,4243,410
1069,960,435
1069,5096,584
1069,4494,2104
1069,5027,2807
1069,3839,170
1069,5328,237
1069,4343,179
1069,975,1629
1069,86,58
1069,3133,7332
1069,1018,54
1069,1664,482
1069,5535,147
1069,1027,180
1069,5526,112
1069,4444,463
1069,6032,677
1069,1138,346
1069,6756,241
1069,1111,21
1069,4966,576
1069,1645,34
1069,3840,163
1069,302,6731
1069,6287,36
1069,991,439
1069,4615,13933
1069,6131,18432
1069,1458,8683
1069,4733,444
1069,483,765
1069,5676,25729
1069,4469,1464
1069,1430,1002
1069,3720,99
1069,6004,7187
1069,1895,63
1069,1368,782
1069,1041,255
1069,510,95
1069,3596,99
1069,6349,35
1069,2364,11
1069,6409,82
1069,4045,30
1069,4663,2524
1069,4330,3438
1069,175,4426
1069,4052,17882
1069,2914,72
1069,213,92
1069,3290,1023
1069,518,447
1069,5183,86
1069,5431,2101
1069,4478,795
1069,328,162
1069,781,3589
1069,3636,15
1069,2955,636
1069,4658,74
1069,2980,170
1069,7087,33
1069,4600,9499
1069,6441,8820
1069,547,200
1069,5579,23
1069,3727,252
1069,5171,1693
1069,6367,29522
1069,4350,41
1069,1588,911
1069,1005,164
1069,4716,24
1069,326,96
1069,3572,105
1069,3782,312
1069,4123,12
1069,4309,1078
1069,4687,839
1069,1595,3149
1069,3041,133
1069,3128,4625
1069,5424,54
1069,1361,9441
1069,4545,48
1069,4846,13298
1069,854,2517
519,6299,208
519,4438,17
519,361,17
519,2335,90
519,6631,124
519,5967,15
519,5743,40
519,1083,45
519,823,40
519,5205,169
519,537,45
519,4928,200
519,4204,19
519,1395,10
519,4701,190
519,1411,162
519,321,87
519,5567,13
519,4744,25
519,158,2457
519,2947,2291
519,345,52
519,1426,2352
519,1608,40
519,4243,10
519,5096,12
519,4494,36
519,5027,441
519,3839,52
519,4343,73
519,975,51
519,3133,613
519,5190,10
519,1018,42
519,1664,153
519,5535,57
519,4444,73
519,1138,26
519,6756,40
