liquor_id,liquor_name,ingredient_id,ingredient_name,ingredient_type,origin_ingredient_id,origin_ingredient_name,origin_type
5558,rum,6131,strawberry,other,3378,ice_cream_cone,dessert
5558,rum,4092,marshmallow,other,3378,ice_cream_cone,dessert
5558,rum,4744,peppermint,other,6172,sugar,dessert
5558,rum,2188,egg,other,6172,sugar,dessert
5558,rum,3727,lemon_balm,other,6172,sugar,dessert
5558,rum,656,boysenberry,other,6172,sugar,dessert
5558,rum,1426,cocoa,other,6172,sugar,dessert
5558,rum,148,anise,other,6172,sugar,dessert
5558,rum,3860,lingonberry,other,6172,sugar,dessert
5558,rum,4763,persimmon,other,6172,sugar,dessert
5558,rum,2335,filbert,other,6172,sugar,dessert
5558,rum,805,buttermilk,other,6172,sugar,dessert
5558,rum,5285,red_currant,other,6172,sugar,dessert
5558,rum,5800,shortening,other,6172,sugar,dessert
5558,rum,4521,orange_oil,other,6172,sugar,dessert
5558,rum,4653,pate,other,6172,sugar,dessert
5558,rum,5424,rhubarb,other,6172,sugar,dessert
5558,rum,5171,quince,other,6172,sugar,dessert
5558,rum,3766,lemon_verbena,other,6172,sugar,dessert
5558,rum,4153,meringue,other,6172,sugar,dessert
5558,rum,58,agar,other,6172,sugar,dessert
5558,rum,3133,guava,other,6172,sugar,dessert
5558,rum,5192,raisin_bread,other,6172,sugar,dessert
5558,rum,2761,fruit_preserve,other,6172,sugar,dessert
5558,rum,2764,fruit_salad,other,6172,sugar,dessert
5558,rum,6093,star_fruit,other,6172,sugar,dessert
5558,rum,5967,sour_cherry,other,6172,sugar,dessert
5558,rum,5328,red_raspberry,other,6172,sugar,dessert
5558,rum,4433,nut,other,6172,sugar,dessert
5558,rum,1368,cinnamon,other,6172,sugar,dessert
5558,rum,3035,green_tea,other,6172,sugar,dessert
5558,rum,2396,flour,other,6172,sugar,dessert
5558,rum,4319,mulberry,other,6172,sugar,dessert
5558,rum,2914,gooseberry,other,6172,sugar,dessert
5558,rum,483,black_currant,other,6172,sugar,dessert
5558,rum,6631,vanilla,other,6172,sugar,dessert
5558,rum,5096,prickly_pear,other,6172,sugar,dessert
5558,rum,1390,citrus_fruit,other,6172,sugar,dessert
5558,rum,4724,pectin,other,6172,sugar,dessert
5558,rum,504,black_raspberry,other,6172,sugar,dessert
5587,sake,960,canola_oil,other,5999,soy_yogurt,asian
5587,sake,547,blueberry,other,5999,soy_yogurt,asian
5587,sake,5190,raisin,other,5999,soy_yogurt,asian
5587,sake,4076,margarine,other,5999,soy_yogurt,asian
5587,sake,302,banana,other,5999,soy_yogurt,asian
5587,sake,6131,strawberry,other,5999,soy_yogurt,asian
