alcohol_id,ingredient_id,label
5016,4846,1
5016,6894,1
5016,754,1
5016,762,1
5016,770,1
5016,2821,1
5016,4875,1
5016,779,1
5016,781,1
5016,4885,1
5016,4891,1
5016,805,1
5016,814,1
5016,823,1
5016,4928,1
5016,838,1
5016,2890,1
5016,4948,1
5016,854,1
5016,4958,1
5016,4961,1
5016,2914,1
5016,7013,1
5016,4966,1
5016,7020,1
5016,7021,1
5016,885,1
5016,7029,1
5016,2947,1
5016,7043,1
5016,2955,1
5016,5027,1
5016,2980,1
5016,5028,1
5016,5030,1
5016,7083,1
5016,7087,1
5016,960,1
5016,966,1
5016,975,1
5016,3035,1
5016,991,1
5016,3041,1
5016,995,1
5016,5096,1
5016,1003,1
5016,1005,1
5016,5108,1
5016,1014,1
5016,1017,1
5016,1018,1
5016,5115,1
5016,1023,1
5016,1027,1
5016,5125,1
5016,1033,1
5016,1041,1
5016,5147,1
5016,5149,1
5016,5171,1
5016,5173,1
5016,3125,1
5016,3128,1
5016,1081,1
5016,5176,1
5016,1083,1
5016,3133,1
5016,5183,1
5016,1089,1
5016,5188,1
5016,5190,1
5016,5192,1
5016,3148,1
5016,5203,1
5016,5205,1
5016,1111,1
5016,1121,1
5016,3169,1
5016,1125,1
5016,1128,1
5016,1129,1
5016,5228,1
5016,1138,1
5016,3201,1
5016,5285,1
5016,1204,1
5016,1212,1
5016,5328,1
5016,5330,1
5016,3290,1
5016,3308,1
5016,1263,1
5016,3312,1
5016,1266,1
5016,3334,1
5016,5418,1
5016,3370,1
5016,5424,1
5016,1328,1
5016,3377,1
5016,3378,1
5016,5431,1
5016,3386,1
5016,5436,1
5016,5454,1
5016,1361,1
5016,1368,1
5016,1390,1
5016,1395,1
5016,3447,1
5016,1411,1
5016,5519,1
5016,1426,1
5016,1427,1
5016,1429,1
5016,5526,1
5016,1430,1
5016,5527,1
5016,5535,1
5016,3489,1
5016,1458,1
5016,5567,1
5016,5569,1
5016,3526,1
5016,3527,1
5016,5579,1
5016,5582,1
5016,1488,1
5016,1489,1
5016,5588,1
5016,3546,1
5016,1504,1
5016,3560,1
5016,5608,1
5016,3562,1
5016,3565,1
5016,3572,1
5016,3596,1
5016,3597,1
5016,5650,1
5016,5653,1
5016,5668,1
5016,1576,1
5016,5676,1
5016,3632,1
5016,1588,1
5016,3636,1
5016,1595,1
5016,1598,1
5016,1608,1
5016,1615,1
5016,1631,1
5016,5735,1
5016,1644,1
5016,1645,1
5016,5743,1
5016,5759,1
5016,1664,1
5016,3717,1
5016,3720,1
5016,3727,1
5016,1679,1
5016,1681,1
5016,1682,1
5016,5800,1
5016,5809,1
5016,3766,1
5016,3781,1
5016,3782,1
5016,1768,1
5016,1773,1
5016,1783,1
5016,5879,1
5016,1786,1
